1,naresh,January,100000,500000,500000,80000,10000,69800,200,0
1,naresh,febuary,100000,500000,500000,80000,10000,69800,200,0
1,naresh,March,100000,500000,500000,80000,10000,69800,200,0
1,naresh,April,100000,500000,500000,80000,10000,69800,200,0
1,naresh,May,100000,500000,500000,80000,10000,69800,200,0
1,naresh,June,100000,500000,500000,80000,10000,69800,200,0
1,naresh,July,100000,500000,500000,80000,10000,69800,200,0
1,naresh,Septimber,100000,500000,500000,80000,10000,69800,200,0
1,naresh,Octber,100000,500000,500000,80000,10000,69800,200,0
1,naresh,November,100000,500000,500000,80000,10000,69800,200,0
1,naresh,December,100000,500000,500000,80000,10000,69800,200,0
