1,naresh,feb,100000,500000,500000,80000,10000,69800,200,0 
1,naresh,jan,100000,500000,500000,80000,10000,69800,200,0 
1,naresh,march,100000,500000,500000,80000,10000,69800,200,0 
1,naresh,april,100000,500000,500000,80000,10000,69800,200,0
1,naresh,may,100000,500000,500000,80000,10000,69800,200,0  
2,vasavi,feb,100000,500000,500000,80000,10000,69800,200,0 
2,vasavi,jan,100000,500000,500000,80000,10000,69800,200,0 
2,vasavi,march,100000,500000,500000,80000,10000,69800,200,0 
2,vasavi,april,100000,500000,500000,80000,10000,69800,200,0 
2,vasavi,may,100000,500000,500000,80000,10000,69800,200,0 
