1,Naresh,feb,100000,500000,500000,80000,10000,69800,200,0
1,Naresh,jan,100000,500000,500000,80000,10000,69800,200,0
1,Naresh,march,100000,500000,500000,80000,10000,69800,200,0
1,Naresh,april,100000,500000,500000,80000,10000,69800,200,0
1,Naresh,may,100000,500000,500000,80000,10000,69800,200,0
2,Vasavi,feb,100000,500000,500000,80000,10000,69800,200,0
2,Vasavi,jan,100000,500000,500000,80000,10000,69800,200,0
2,Vasavi,march,100000,500000,500000,80000,10000,69800,200,0
2,Vasavi,april,100000,500000,500000,80000,10000,69800,200,0
2,Vasavi,may,100000,500000,500000,80000,10000,69800,200,0
3,Pavan,feb,100000,500000,500000,80000,10000,69800,200,0
3,Pavan,jan,100000,500000,500000,80000,10000,69800,200,0
3,Pavan,march,100000,500000,500000,80000,10000,69800,200,0
3,Pavan,april,100000,500000,500000,80000,10000,69800,200,0
3,Pavan,may,100000,500000,500000,80000,10000,69800,200,0
4,Veerababu,feb,100000,500000,500000,80000,10000,69800,200,0
4,Veerababu,jan,100000,500000,500000,80000,10000,69800,200,0
4,Veerababu,march,100000,500000,500000,80000,10000,69800,200,0
4,Veerababu,april,100000,500000,500000,80000,10000,69800,200,0
4,Veerababu,may,100000,500000,500000,80000,10000,69800,200,0
